City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,afaahiti,-17.75,-149.2833,73.27,66,55,18.14,PF,1689869106
180,ust-nera,64.5667,143.2,66.34,53,57,5.86,RU,1689869106
181,laojunmiao,39.8333,97.7333,72.45,23,0,8.37,CN,1689869106
182,coquimbo,-29.9533,-71.3436,60.53,82,75,14.97,CL,1689869106
183,pagalungan,7.1417,124.3806,75.47,90,80,2.44,PH,1689869107
184,haiku-pauwela,20.9219,-156.3051,75.04,90,40,12.66,US,1689869107
185,ocean city,39.2776,-74.5746,87.19,76,31,8.99,US,1689869107
186,susuman,62.7833,148.1667,63.48,73,57,9.01,RU,1689869107
187,kashgar,39.4547,75.9797,88.81,23,40,17.9,CN,1689869107
188,ndende,-2.4008,11.3581,92.52,30,64,1.92,GA,1689869108
189,lijiang,26.8688,100.2207,59.85,97,99,2.17,CN,1689869108
190,yarmouth,41.7057,-70.2286,84.15,74,0,10.36,US,1689869108
191,jiagedaqi,50.4167,124.1167,58.93,59,17,2.98,CN,1689869108
192,nantucket,41.2835,-70.0995,80.74,87,81,3.91,US,1689868928
193,wangaratta,-36.3667,146.3333,45.46,97,99,1.63,AU,1689869109
194,san julian,21.0167,-102.1667,69.94,50,74,9.1,MX,1689869109
195,nekrasovskoye,57.6766,40.3657,66.09,68,0,11.18,RU,1689868851
196,south hedland,-20.4089,118.5983,62.53,67,47,3.44,AU,1689869109
197,dalnegorsk,44.5604,135.5701,63.16,84,1,3.04,RU,1689869109
198,mont-dore,-22.2833,166.5833,70.0,99,33,6.46,NC,1689869013
199,conduaga,8.862,117.4893,79.21,86,100,3.13,PH,1689869110
200,brisas de zicatela,15.8369,-97.0419,90.12,58,40,6.91,MX,1689869110
201,natal,-5.795,-35.2094,84.85,54,40,23.02,BR,1689869110
202,las palmas,28.4204,-14.0131,75.99,65,20,24.16,ES,1689869110
203,kapuskasing,49.4169,-82.4331,60.8,94,100,4.61,CA,1689869110
204,xilin hot,43.9667,116.0333,67.17,65,40,7.36,CN,1689869111
205,zhanaozen,43.3,52.8,86.79,24,0,12.57,KZ,1689869111
206,polyarnyy,69.1989,33.4478,51.48,85,100,20.38,RU,1689869111
207,turaif,31.6725,38.6637,100.65,7,0,16.11,SA,1689869111
208,altamira,-3.2033,-52.2064,89.69,66,40,5.75,BR,1689868927
209,praia,14.9215,-23.5087,86.54,70,40,11.5,CV,1689869112
210,rio grande,-32.035,-52.0986,66.31,83,90,15.86,BR,1689869112
211,saldanha,-33.0117,17.9442,60.85,62,0,12.8,ZA,1689869112
212,young,-32.6833,-57.6333,59.68,71,100,8.37,UY,1689869112
213,martapura,-3.4167,114.85,75.29,100,100,2.3,ID,1689869112
214,morehead,37.2711,-87.1764,81.0,88,40,3.44,US,1689869112
215,mazatlan,23.2167,-106.4167,90.01,81,75,1.01,MX,1689869051
216,dowagiac,41.9842,-86.1086,82.6,72,52,12.62,US,1689869113
217,port douglas,-16.4833,145.4667,68.9,81,61,6.02,AU,1689869113
218,hasaki,35.7333,140.8333,78.31,90,0,10.69,JP,1689869113
219,nishinoomote,30.7333,131.0,80.69,85,98,9.33,JP,1689869113
220,lazaro cardenas,17.9583,-102.2,83.88,74,99,4.0,MX,1689869113
221,aasiaat,68.7098,-52.8699,38.28,99,100,9.24,GL,1689868907
222,qaqortoq,60.7167,-46.0333,47.53,87,100,7.9,GL,1689869114
223,coahuayana de hidalgo,18.7,-103.6583,84.87,68,77,2.86,MX,1689869114
224,boa vista,2.8197,-60.6733,87.78,58,40,4.61,BR,1689869114
